date,open,high,low,close,volume
2026-04-24T16:00:00-04:00,77657.01,77787.4,77478.31,77748.69,191669397.4384414
2026-04-24T15:00:00-04:00,77637.61,77773.45,77555.6,77659.72,198468213.7980613
2026-04-24T14:00:00-04:00,77707.16,77745.83,77381.74,77637.61,191036480.48507598
2026-04-24T13:00:00-04:00,77798.32,77856.95,77502.59,77707.15,29290250.118257575
2026-04-24T12:00:00-04:00,78065.03,78090.24,77606.46,77800.0,1051452805.5497571
2026-04-24T11:00:00-04:00,78072.0,78257.09,77596.52,78066.88,144782741.2107319
2026-04-24T10:00:00-04:00,78107.84,78107.84,77700.01,78070.15,431123709.7035046
2026-04-24T09:00:00-04:00,78290.74,78500.0,77922.96,78107.84,505846800.61583984
2026-04-24T08:00:00-04:00,78256.15,78379.31,78035.99,78290.74,110651622.41981529
2026-04-24T07:00:00-04:00,77762.45,78400.0,77762.44,78256.13,1292544481.9924843
2026-04-24T06:00:00-04:00,77551.88,77811.18,77457.21,77762.45,169386210.40842193
2026-04-24T05:00:00-04:00,77808.72,77827.83,77423.86,77551.89,238356361.32325643
2026-04-24T04:00:00-04:00,77676.95,78030.98,77593.2,77808.73,638039430.0061185
2026-04-24T03:00:00-04:00,77813.11,77882.44,77568.32,77676.96,666139006.2962517
2026-04-24T02:00:00-04:00,77974.3,77999.1,77786.29,77813.12,268647370.4683225
2026-04-24T01:00:00-04:00,77682.9,78071.27,77465.3,77974.29,781536386.4356731
2026-04-24T00:00:00-04:00,77755.39,77888.5,77492.99,77682.91,352534148.17151016
2026-04-23T23:00:00-04:00,78154.1,78217.79,77590.51,77755.39,529485303.2614738
2026-04-23T22:00:00-04:00,78457.9,78607.38,78097.52,78154.1,318432505.1967935
2026-04-23T21:00:00-04:00,78446.02,78487.02,77979.18,78457.91,363249509.37413627
2026-04-23T20:00:00-04:00,78281.32,78516.33,78191.31,78446.01,16523745.103525765
2026-04-23T19:00:00-04:00,78257.15,78327.6,78051.8,78281.32,143800426.62935588
2026-04-23T18:00:00-04:00,77887.5,78369.99,77884.4,78257.14,409820547.29273695
2026-04-23T17:00:00-04:00,77903.01,78092.46,77811.0,77890.0,767651739.1907458
2026-04-23T16:00:00-04:00,77742.5,78073.5,77656.44,77903.01,281559935.5302206
2026-04-23T15:00:00-04:00,77698.4,77927.45,77600.0,77743.16,846791528.6474806
2026-04-23T14:00:00-04:00,77796.41,78181.43,77695.47,77698.4,1614367190.2061048
2026-04-23T13:00:00-04:00,78133.06,78222.46,76979.99,77796.41,1719193422.9441762
2026-04-23T12:00:00-04:00,78410.44,78550.0,78063.58,78133.06,72624234.47553134
2026-04-23T11:00:00-04:00,78210.59,78722.96,78007.2,78410.43,431096743.66964114
2026-04-23T10:00:00-04:00,77549.32,78250.0,77431.4,78210.59,163714794.14310145
2026-04-23T09:00:00-04:00,77897.23,77946.39,77404.02,77549.31,90907922.00056176
2026-04-23T08:00:00-04:00,77722.29,77907.56,77562.25,77894.01,306102168.61856335
2026-04-23T07:00:00-04:00,77425.92,77776.48,77372.12,77722.29,162843903.74926323
2026-04-23T06:00:00-04:00,77672.01,77737.92,77200.0,77425.92,1356527636.220654
2026-04-23T05:00:00-04:00,77877.34,77887.47,77463.04,77670.55,890900402.8762445
2026-04-23T04:00:00-04:00,78086.15,78204.31,77727.29,77877.34,677153687.8251853
2026-04-23T03:00:00-04:00,78240.01,78281.78,77989.72,78086.14,500327380.4977021
2026-04-23T02:00:00-04:00,78055.02,78370.49,78055.02,78240.0,803474496.406783
2026-04-23T01:00:00-04:00,77935.46,78149.07,77788.81,78051.59,549823980.3798465
2026-04-23T00:00:00-04:00,77766.9,77974.18,77698.7,77935.46,94445325.97652216
2026-04-22T23:00:00-04:00,77967.46,78070.5,77500.0,77766.9,292417163.00903016
2026-04-22T22:00:00-04:00,78387.4,78387.4,77783.74,77967.46,316620066.38789266
2026-04-22T21:00:00-04:00,78467.69,78500.0,78093.3,78387.39,881535482.5252101
2026-04-22T20:00:00-04:00,78208.52,78608.94,77610.0,78467.52,1929043732.315638
2026-04-22T19:00:00-04:00,78635.61,78642.0,78182.0,78208.52,582587126.550214
2026-04-22T18:00:00-04:00,78794.76,78865.09,78487.27,78635.61,384811053.2784766
2026-04-22T17:00:00-04:00,78464.05,78858.25,78445.8,78794.76,692393870.2379886
2026-04-22T16:00:00-04:00,78878.31,78953.15,78427.63,78463.99,358857620.0920548
2026-04-22T15:00:00-04:00,79062.46,79111.73,78734.15,78878.3,402492256.68158084
2026-04-22T14:00:00-04:00,78947.98,79218.81,78854.6,79062.46,160472671.7872989
2026-04-22T13:00:00-04:00,78782.46,79078.37,78724.13,78947.97,360111961.50137997
2026-04-22T12:00:00-04:00,79323.62,79523.0,78660.62,78782.46,1067557570.7907614
2026-04-22T11:00:00-04:00,79073.56,79455.95,78865.0,79323.61,1598764425.73561
2026-04-22T10:00:00-04:00,78887.45,79217.08,78601.87,79073.57,1867444184.94824
2026-04-22T09:00:00-04:00,78262.9,78887.8,78183.05,78887.44,1522769846.8730524
2026-04-22T08:00:00-04:00,78327.98,78542.56,78137.19,78262.91,689156127.3484758
2026-04-22T07:00:00-04:00,78175.71,78422.84,78119.18,78327.98,437800868.32267094
2026-04-22T06:00:00-04:00,78015.57,78201.25,77964.02,78175.7,316723848.26085895
2026-04-22T05:00:00-04:00,78020.24,78204.89,77968.89,78015.56,406418936.8810607
2026-04-22T04:00:00-04:00,78025.8,78222.15,77960.0,78020.25,777701999.1069729
2026-04-22T03:00:00-04:00,78023.22,78128.99,77821.1,78025.8,1685890719.651738
2026-04-22T02:00:00-04:00,77987.0,78050.75,77906.53,78023.21,902442465.9534776
2026-04-22T01:00:00-04:00,77536.01,78444.0,77460.58,77986.99,2826187301.1002927
2026-04-22T00:00:00-04:00,77541.55,77725.21,77369.03,77536.0,1583046754.8374252
2026-04-21T23:00:00-04:00,77623.92,77747.98,77430.0,77541.55,1782277583.3319364
2026-04-21T22:00:00-04:00,76317.11,77673.63,76236.94,77624.23,38169513984.0
2026-04-21T21:00:00-04:00,76380.89,76432.94,76145.0,76317.11,457093267.7532184
2026-04-21T20:00:00-04:00,76355.73,76520.0,76233.63,76380.89,1080448875.7719543
2026-04-21T19:00:00-04:00,75662.14,76453.02,75642.93,76348.58,22292258.45651305
2026-04-21T18:00:00-04:00,75565.0,75662.15,75323.03,75662.06,256989760.61580902
2026-04-21T17:00:00-04:00,75711.24,75796.69,75469.86,75565.01,14398463.83812482
2026-04-21T16:00:00-04:00,75031.09,75880.35,74989.53,75714.21,370304011.738186
2026-04-21T15:00:00-04:00,75619.17,75936.07,74817.27,75030.96,720247013.1903208
2026-04-21T14:00:00-04:00,75567.27,75680.18,75316.83,75619.17,758631589.2200792
2026-04-21T13:00:00-04:00,75794.41,75925.55,75074.0,75567.26,911071666.0912187
2026-04-21T12:00:00-04:00,75846.68,76205.59,75770.66,75795.0,211729210.62351203
2026-04-21T11:00:00-04:00,75682.0,75999.33,75438.7,75844.02,261188629.6016396
2026-04-21T10:00:00-04:00,75928.04,76632.97,75634.64,75681.99,382263979.08031464
2026-04-21T09:00:00-04:00,76037.94,76213.37,75752.82,75927.03,191972408.65130603
2026-04-21T08:00:00-04:00,76486.41,76554.71,75738.91,76037.95,837352020.8689973
2026-04-21T07:00:00-04:00,76775.13,76789.35,76366.43,76485.82,693516023.8962352
2026-04-21T06:00:00-04:00,76397.3,76905.18,76379.5,76775.13,617521683.0418471
2026-04-21T05:00:00-04:00,76545.65,76622.15,76186.45,76397.31,589125662.8318098
2026-04-21T04:00:00-04:00,76118.09,76926.37,76092.01,76545.65,826307016.7568555
2026-04-21T03:00:00-04:00,76001.83,76326.37,75847.24,76118.09,440208221.3270776
2026-04-21T02:00:00-04:00,75835.76,76153.85,75725.96,76001.83,207294318.63987395
2026-04-21T01:00:00-04:00,75840.58,76026.63,75810.15,75835.77,328826556.7388449
2026-04-21T00:00:00-04:00,75740.58,75853.73,75633.28,75840.59,266585937.4643999
2026-04-20T23:00:00-04:00,75613.76,75749.01,75514.0,75740.58,344412558.1811615
2026-04-20T22:00:00-04:00,75955.07,75965.22,75605.0,75613.75,178125746.006578
2026-04-20T21:00:00-04:00,76121.97,76290.0,75889.2,75955.08,1496237935.9923668
2026-04-20T20:00:00-04:00,75864.86,76130.29,75724.81,76122.01,306613393.51429105
2026-04-20T19:00:00-04:00,76004.67,76004.67,75649.89,75864.86,11841580.91075583
2026-04-20T18:00:00-04:00,75985.54,76180.58,75933.01,76004.67,13250276.619915593
2026-04-20T17:00:00-04:00,76317.28,76405.74,75812.99,75984.53,266614407.89876148
2026-04-20T16:00:00-04:00,76337.48,76600.0,76151.25,76317.28,1124344791.8026884
2026-04-20T15:00:00-04:00,76466.25,76528.01,76184.85,76337.42,1875161229.1166294
2026-04-20T14:00:00-04:00,75937.31,76490.36,75937.31,76466.0,933686848.2856679
2026-04-20T13:00:00-04:00,75382.0,76000.0,75322.0,75937.31,405183788.35260004
2026-04-20T12:00:00-04:00,75747.07,75761.0,75326.01,75378.79,668316775.4888598
2026-04-20T11:00:00-04:00,75072.98,75816.18,74730.01,75747.08,1976505559.0447857
2026-04-20T10:00:00-04:00,75307.05,75812.71,74936.01,75071.84,1281039082.438823
2026-04-20T09:00:00-04:00,75323.53,75481.79,74895.26,75307.98,1477554718.6238172
2026-04-20T08:00:00-04:00,75220.26,75685.2,75094.06,75322.87,1206281624.2771728
2026-04-20T07:00:00-04:00,75068.73,75319.18,74990.0,75223.96,171232182.1571329
2026-04-20T06:00:00-04:00,75100.45,75439.86,75038.96,75068.69,799680420.5416236
2026-04-20T05:00:00-04:00,74758.01,75269.65,74726.1,75100.44,702206250.6979184
2026-04-20T04:00:00-04:00,74860.01,75029.01,74646.93,74758.01,1177356007.766294
2026-04-20T03:00:00-04:00,74820.18,75600.0,74693.44,74857.39,1125180111.3134553
2026-04-20T02:00:00-04:00,74299.01,74919.99,74280.31,74820.18,836516224.5082595
2026-04-20T01:00:00-04:00,74589.28,74590.4,74128.51,74298.45,544740255.2315463
2026-04-20T00:00:00-04:00,74667.9,74672.96,74467.84,74590.39,290964207.099206
2026-04-19T23:00:00-04:00,74439.91,74685.15,74390.13,74667.9,718339406.3770047
2026-04-19T22:00:00-04:00,74621.43,74661.45,74334.01,74439.9,477770066.8580001
2026-04-19T21:00:00-04:00,74305.3,74781.95,74238.84,74621.43,1549447729.166303
2026-04-19T20:00:00-04:00,73823.27,74388.84,73741.53,74305.3,1130424954.4770637
2026-04-19T19:00:00-04:00,74067.02,74080.05,73815.19,73823.14,707334701.2718943
2026-04-19T18:00:00-04:00,74457.97,74469.98,73777.86,74072.54,2523951160.419583
2026-04-19T17:00:00-04:00,74662.56,74844.01,74400.01,74457.97,713580698.635879
2026-04-19T16:00:00-04:00,74985.04,74989.22,74458.0,74662.56,445939912.6061519
2026-04-19T15:00:00-04:00,74806.71,75120.09,74806.71,74985.04,385312111.7271969
2026-04-19T14:00:00-04:00,74820.85,74939.08,74626.17,74806.71,822401724.461132
2026-04-19T13:00:00-04:00,75417.5,75419.99,74676.91,74820.85,975223734.1694595
2026-04-19T12:00:00-04:00,75885.61,75910.61,75333.0,75417.16,273839029.8810186
2026-04-19T11:00:00-04:00,76064.94,76193.12,75450.47,75885.62,1496502192.3208897
2026-04-19T10:00:00-04:00,75963.14,76180.58,75707.98,76064.95,1038791233.7666397
2026-04-19T09:00:00-04:00,75611.91,76278.36,75588.34,75963.14,689602611.7834314
2026-04-19T08:00:00-04:00,75637.52,75732.6,75467.69,75611.92,134403971.18718866
2026-04-19T07:00:00-04:00,75246.09,75662.75,75239.53,75637.52,487743448.111843
2026-04-19T06:00:00-04:00,75055.42,75272.65,74971.53,75246.08,43269997.81867035
2026-04-19T05:00:00-04:00,75293.17,75308.9,74961.83,75055.42,105968218.07820606
2026-04-19T04:00:00-04:00,75291.11,75336.52,75107.2,75293.17,82891033.7504333
2026-04-19T03:00:00-04:00,75434.49,75434.92,74922.47,75291.12,1071278755.5206861
